Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15161991119385
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jordan,JOR,..,..,..,3.51412010192871,3.28404998779297,3.03434991836548,3.07253003120422
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Qatar,QAT,4.07384014129639,3.60535001754761,..,..,2.86383008956909,..,2.69534993171692
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominica,DMA,..,..,3.40858006477356,..,..,..,5.57345008850098
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Costa Rica,CRI,6.84933996200562,6.86952018737793,7.0825400352478,7.09768009185791,7.31572008132935,6.97856998443604,7.04875993728638
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sierra Leone,SLE,2.37981009483337,2.66291999816895,..,3.06023001670837,4.63576984405518,6.98963022232056,7.70228004455566
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malaysia,MYS,5.48120021820068,5.21263980865479,4.89486980438232,4.75191020965576,4.67756986618042,4.48125982284546,4.16318988800049
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritania,MRT,2.29354000091553,..,..,1.94405996799469,..,..,1.89546000957489
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritius,MUS,3.61578989028931,4.91695022583008,4.88667011260986,5.01359987258911,5.02312994003296,4.83458995819092,4.71934986114502
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Myanmar,MMR,..,..,..,..,2.08768010139465,1.92288994789124,1.93208003044128
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Africa,ZAF,..,..,5.95619010925293,5.94285011291504,6.11305999755859,6.15898990631104,6.50505018234253
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Peru,PER,3.29729008674622,3.69599008560181,3.96933007240295,3.81316995620728,3.93130993843079,3.72316002845764,3.8472900390625
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,3.76031994819641,3.57255005836487,3.26212000846863,3.29264998435974,3.31010007858276,3.32651996612549,3.8105800151825
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guatemala,GTM,2.88808989524841,2.98562002182007,3.03032994270325,2.94474005699158,2.951819896698,3.14092993736267,3.21219992637634
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jamaica,JAM,6.25108003616333,6.01654005050659,5.45577001571655,5.31508016586304,5.2606201171875,5.4147801399231,5.16918992996216
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh,BGD,1.96616005897522,..,..,1.53553998470306,..,..,1.32632005214691
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 02/17/2021,,,,,,,,,,
